UUID,Site_Code,State_Key,District,Latitude,Longitude,Land_Use,Elevation_m,Slope_deg,Dist_to_Road_km,Pop_Density_sqkm,Land_Value_USD_sqm,Suitability_Score
FF51DB5E,IN-HOS-C395,IND,Hoshangabad,22.30499506994203,77.39926092345415,Industrial,275.79,2.66,0.85,550,13727.82,82.68
25B3121F,IN-HOS-61CB,IND,Hoshangabad,22.588001313395278,77.70284682640022,Commercial,778.06,11.02,1.57,285,9849.26,80.32
6328675F,IN-HOS-4011,IND,Hoshangabad,22.42740623052864,77.821001062787,Industrial,608.37,1.12,1.06,852,12481.83,84.16
A7CD07BB,IN-HOS-5243,IND,Hoshangabad,22.410263759473114,78.42327125625134,Agricultural,638.08,0.97,9.78,216,2406.42,49.45
8B278909,IN-HOS-8FD0,IND,Hoshangabad,22.509351226170363,78.36571578771421,Industrial,540.52,6.14,3.9,1305,5629.41,66.35
000897C8,IN-HOS-3BFD,IND,Hoshangabad,22.833954754357787,78.32935616467383,Industrial,729.11,5.64,1.57,243,9835.55,76.35
F40D255E,IN-HOS-8331,IND,Hoshangabad,22.26499982818478,77.41819107587065,Industrial,594.37,0.69,2.06,655,8441.86,70.11
13FDCC71,IN-HOS-59F5,IND,Hoshangabad,22.87834234577406,78.45785067470118,Agricultural,383.5,1.53,3.67,1335,5888.23,89.31
76F030E7,IN-SEH-5258,IND,Sehore,22.980079751239664,76.44665136890018,Commercial,262.58,1.7,1.84,4798,10734.28,85.75
6BD8B6B9,IN-SEH-C55C,IND,Sehore,23.0034849170711,77.24333253466503,Commercial,1009.23,3.4,5.84,772,3962.07,73.52
548359FB,IN-SEH-6C6D,IND,Sehore,23.05079464403523,76.7324659615672,Residential,511.55,7.2,0.11,268,22575.68,81.88
2F04D80A,IN-SEH-DBFA,IND,Sehore,23.462699679739952,77.21566185610617,Agricultural,685.67,8.19,7.01,1011,3526.37,64.74
6EDEE4DD,IN-SEH-F274,IND,Sehore,23.032170160499593,76.5917650333106,Commercial,985.7,0.77,4.2,1587,5438.67,72.81
DEB06258,IN-SEH-611C,IND,Sehore,22.79307353843786,77.44088231673165,Residential,0.0,6.6,4.51,505,4737.38,67.38
033AD8DB,IN-SEH-99C5,IND,Sehore,22.899638454330912,76.81052655045522,Industrial,336.69,4.66,4.23,719,5071.48,87.91
AB200F58,IN-SEH-4ADF,IND,Sehore,22.82342590363706,77.07289199420487,Industrial,410.79,1.23,0.13,1968,22851.98,73.46
EFC22E57,IN-SEH-2805,IND,Sehore,23.00585612269213,76.97613111869087,Residential,441.14,3.36,1.81,100,8929.66,93.49
59448604,IN-SEH-61B5,IND,Sehore,22.858963735889102,77.48112579104996,Industrial,208.35,4.91,2.2,597,8055.2,95.95
B3A181B4,IN-SEH-E7DB,IND,Sehore,22.823747462559098,76.64649586236033,Commercial,654.52,8.72,1.21,877,11648.09,78.73
110EF3C4,IN-SEH-8108,IND,Sehore,22.876048708962887,76.80218158943318,Residential,0.0,2.48,1.52,2223,10815.16,71.27
D25DD85E,IN-JAB-F473,IND,Jabalpur,23.531739304826058,80.02613718960099,Agricultural,382.24,3.05,0.7,4034,16278.22,96.51
7D184AA0,IN-JAB-D7DF,IND,Jabalpur,23.20140908931678,79.67391920300808,Residential,274.89,6.23,5.17,100,4092.1,61.4
FB311E37,IN-JAB-4F5C,IND,Jabalpur,23.476565454387142,80.07604241625405,Residential,408.42,2.15,2.02,1047,8701.53,81.55
7498A949,IN-JAB-06B4,IND,Jabalpur,23.181901210348276,79.83425322661203,Commercial,320.47,4.83,2.01,617,8559.89,83.03
5CFCDD98,IN-JAB-4C25,IND,Jabalpur,23.391485783545406,79.93321575810143,Commercial,365.82,6.75,4.36,609,4904.31,63.21
EE9ED731,IN-JAB-6C47,IND,Jabalpur,23.03273577736361,79.83504816830475,Residential,252.71,3.42,0.19,570,21312.17,96.5
096EDCA9,IN-JAB-402F,IND,Jabalpur,23.569021662188746,80.12256498930641,Commercial,44.46,0.45,7.51,1204,3418.23,45.64
144A0F41,IN-JAB-056A,IND,Jabalpur,23.27876647092303,80.1900034162534,Residential,372.92,6.83,2.51,227,7222.54,70.76
11A6A0A4,IN-JAB-04F0,IND,Jabalpur,23.37209851128063,80.0098433363193,Agricultural,432.69,5.11,5.5,100,3886.5,61.81
DF47168F,IN-JAB-5350,IND,Jabalpur,23.457649782035055,79.98475204421429,Residential,959.88,0.16,2.17,743,8175.07,82.72
887302EB,IN-JAB-388E,IND,Jabalpur,23.385646570489293,79.76706624575449,Residential,693.87,6.37,3.61,337,5553.52,85.46
B84FF852,IN-JAB-5DFB,IND,Jabalpur,23.495685609380516,79.98350987128973,Agricultural,321.34,4.5,2.16,4312,9644.13,92.79
BAB125C4,IN-JAB-D4FD,IND,Jabalpur,23.51758350995001,80.15861843925396,Industrial,548.27,4.61,2.4,100,7393.36,88.2
5A73EBE3,IN-JAB-78B2,IND,Jabalpur,23.183921777375303,79.65093166973698,Residential,439.86,8.84,10.47,1714,2864.69,33.04
DFC99278,IN-JAB-5A0A,IND,Jabalpur,23.349708826261885,80.49461950825376,Industrial,364.65,8.74,0.51,631,16827.89,76.96
8F1DACE2,IN-NAR-BD07,IND,Narsimhapur,22.93459691845764,78.6636671450741,Industrial,229.8,4.82,2.31,2182,8420.43,79.88
B2EBC28B,IN-NAR-C8BE,IND,Narsimhapur,22.777623000650365,78.83313273872966,Agricultural,725.7,1.79,6.41,17316,10301.24,71.09
50FF7FDB,IN-NAR-DF2A,IND,Narsimhapur,22.68565479461756,79.3677415105376,Agricultural,337.55,0.36,6.95,2186,4017.75,56.88
6C57BFE5,IN-NAR-E96E,IND,Narsimhapur,23.145272592679945,79.21892897133735,Industrial,465.29,5.7,2.29,309,7726.55,68.24
A8F9B6EC,IN-NAR-FFEE,IND,Narsimhapur,23.025373761690528,79.13896433803141,Commercial,0.0,5.62,2.51,2675,8198.85,78.03
0C346B25,IN-NAR-92E8,IND,Narsimhapur,22.95027641837882,78.99599913689592,Industrial,359.06,2.15,2.92,302,6495.73,79.56
5F1CC916,IN-NAR-5951,IND,Narsimhapur,22.96094484935308,78.79690217329642,Residential,476.83,2.77,1.66,1430,9968.0,70.74
36573C24,IN-NAR-D809,IND,Narsimhapur,22.71716667311412,79.4004784115042,Agricultural,659.72,5.98,2.89,2588,7462.94,91.67
559DE16C,IN-NAR-CBE5,IND,Narsimhapur,22.949945876571025,79.49913999434543,Industrial,704.07,1.06,4.97,2432,5160.07,71.06
E7314A5D,IN-NAR-B38E,IND,Narsimhapur,23.16675845961274,79.22571504655842,Industrial,734.34,3.2,10.14,1026,2653.99,31.75
6564FB60,IN-NAR-5A75,IND,Narsimhapur,23.01238794651811,79.44033704013344,Industrial,312.23,6.34,3.66,913,5725.74,80.84
9A318CF9,IN-NAR-2B27,IND,Narsimhapur,23.214600735548746,78.90792340336577,Industrial,647.27,2.52,3.17,1588,6623.37,84.13
561CFB3F,IN-NAR-19AC,IND,Narsimhapur,23.145686674217156,79.17864073206711,Industrial,153.08,1.92,2.05,274,8309.67,86.92
2C38DDF7,IN-NAR-BE21,IND,Narsimhapur,22.68472149740121,79.29876022459086,Commercial,254.37,4.91,3.4,108,5727.98,84.26
19729F89,IN-NAR-355D,IND,Narsimhapur,22.788464090389983,79.32948100905423,Industrial,793.76,2.31,5.51,1528,4450.0,50.59
8C51EB06,IN-NAR-ED1E,IND,Narsimhapur,22.83048737766317,79.21316168708567,Residential,479.21,3.15,2.25,331,7826.13,71.48
B8F35CA4,IN-PAN-DC9F,IND,Panna,24.440257364435944,79.95884178407753,Agricultural,579.69,0.25,5.45,1139,4329.9,57.57
86E543D9,IN-PAN-2978,IND,Panna,24.965076539648727,80.20917973320273,Residential,1040.75,2.65,0.1,2056,23549.97,66.79
8EF90E0D,IN-PAN-1405,IND,Panna,24.6308115991768,79.87505921748418,Agricultural,393.75,1.74,8.22,247,2811.9,56.77
06D80058,IN-PAN-834C,IND,Panna,24.015776454547993,79.95647832451247,Agricultural,527.91,6.36,1.58,332,9830.93,86.84
CD71B38B,IN-PAN-ED92,IND,Panna,24.56512560945745,80.38172118490789,Residential,729.16,4.86,0.88,588,13529.19,69.61
96AA19E0,IN-PAN-5108,IND,Panna,24.20777039199155,80.44910880002612,Industrial,236.25,0.07,0.48,525,17156.6,97.99
F130F7F2,IN-PAN-310A,IND,Panna,24.328483593367,80.15948908844321,Industrial,738.29,1.08,1.24,476,11373.59,89.75
CB6EB076,IN-PAN-9816,IND,Panna,24.264457008442296,80.01493735406883,Commercial,0.0,0.68,1.99,283,8473.73,97.37
602DCD11,IN-PAN-8CAC,IND,Panna,24.13592790959025,80.26956083174424,Industrial,675.29,0.64,4.38,512,4848.65,59.43
E7D52A4D,IN-PAN-1000,IND,Panna,24.152729117562004,80.60055810442817,Agricultural,198.59,3.24,2.31,2098,8403.32,86.64
9B124B45,IN-UJJ-94F8,IND,Ujjain,23.591081387408455,75.30240017839483,Commercial,1049.49,1.73,1.14,1139,12133.32,73.75
CE466C7C,IN-UJJ-097E,IND,Ujjain,23.432635577995672,75.4030431693005,Residential,163.21,4.7,4.53,2610,5561.02,84.38
6763F422,IN-UJJ-559B,IND,Ujjain,23.38044210052685,75.59561134639537,Residential,407.11,1.2,3.48,671,5849.41,86.97
AC19BEED,IN-UJJ-8E92,IND,Ujjain,23.07336231318486,75.37633618311446,Industrial,374.03,3.7,1.15,594,11854.89,79.91
C5B095E1,IN-UJJ-2535,IND,Ujjain,23.29397374141767,76.17345130713005,Commercial,381.44,3.4,5.14,100,4114.76,57.53
A8718BE3,IN-UJJ-884C,IND,Ujjain,23.105151607898513,75.32235387518396,Commercial,658.25,5.32,4.05,552,5173.93,88.58
31865F22,IN-UJJ-B629,IND,Ujjain,23.178370931854005,76.06044636909172,Commercial,916.71,1.17,2.78,12112,11451.8,65.41
B66D7D48,IN-UJJ-1C14,IND,Ujjain,23.689236043586604,75.79429676764725,Agricultural,261.0,5.38,1.82,100,8889.71,86.77
252C8F17,IN-UJJ-D7B0,IND,Ujjain,23.609589272812773,75.69920970030297,Industrial,537.36,1.23,1.26,275,11187.32,71.88
4E0725FF,IN-UJJ-7787,IND,Ujjain,23.48488930299166,75.64165759336434,Residential,466.97,1.62,2.73,608,6949.55,85.73
3F0A69B0,IN-UJJ-2C8B,IND,Ujjain,23.418733758461375,75.54584015313998,Commercial,10.6,6.29,5.32,1487,4552.41,70.9
3C87B008,IN-UJJ-983F,IND,Ujjain,23.584634115710234,75.67407590614168,Agricultural,442.57,0.34,1.54,452,10005.44,78.57
056A287B,IN-UJJ-2B48,IND,Ujjain,23.566382265756125,75.62601894314564,Agricultural,839.07,3.98,6.23,233,3551.7,48.89
0C9B40C5,IN-UJJ-E08F,IND,Ujjain,23.65010036330396,75.8108711602534,Agricultural,694.13,5.28,2.83,2147,7379.06,64.43
5980AD49,IN-UJJ-CEF4,IND,Ujjain,23.388108888992114,75.602113139367,Industrial,658.07,2.17,6.44,380,3511.23,42.64
EBFE2860,IN-REW-70DF,IND,Rewa,24.865865397528538,81.2003613865098,Residential,534.46,3.76,7.19,824,3381.08,51.65
89C7A79F,IN-REW-5A9F,IND,Rewa,24.90049823643974,81.14872249147095,Industrial,304.67,2.59,3.86,1147,5605.27,92.0
6F996F88,IN-REW-CF3A,IND,Rewa,24.608639919487107,81.916341673812,Agricultural,249.95,10.29,5.37,879,4275.84,57.28
CCFE43AE,IN-REW-6E12,IND,Rewa,25.025189418526896,81.31894525056114,Industrial,423.12,2.92,7.07,442,3273.68,40.71
D52E10DB,IN-REW-4E50,IND,Rewa,24.785545817340623,81.32082921087938,Industrial,461.5,1.45,3.41,1277,6175.49,83.61
BE088C26,IN-REW-FBF1,IND,Rewa,24.63998719248745,81.76277258362506,Agricultural,210.08,4.97,5.78,875,4034.97,64.42
DF46A59B,IN-REW-EF99,IND,Rewa,25.17439142415673,81.55111657989112,Industrial,196.81,3.85,3.02,783,6524.5,94.96
8C71F33C,IN-REW-94B3,IND,Rewa,24.75079494608604,81.72370130437253,Residential,505.81,5.39,5.29,463,4157.86,63.98
D93DD86A,IN-REW-178A,IND,Rewa,24.92609175564303,81.3721398295147,Agricultural,822.55,10.69,2.07,2835,9274.21,79.05
791BDEC7,IN-REW-C14B,IND,Rewa,24.608820891328044,81.8030328769142,Agricultural,625.59,10.45,0.76,551,14412.48,95.39
44D06F15,IN-REW-8E45,IND,Rewa,25.03006192146918,81.45497345842324,Industrial,570.47,1.0,2.53,167,7142.39,66.42
5210DD09,IN-DIN-F52B,IND,Dindori,22.945076942318373,80.8824891157475,Commercial,252.17,6.83,2.25,304,7815.08,81.07
94AB60FE,IN-DIN-AB90,IND,Dindori,22.77148093744133,81.1673546463722,Industrial,85.31,1.89,4.2,100,4844.25,65.43
30DF05F9,IN-DIN-E8C8,IND,Dindori,22.68046473835344,80.9500431806569,Industrial,877.12,6.22,3.45,859,5961.91,71.79
A7D4AAAF,IN-DIN-1AC5,IND,Dindori,22.865156925518946,80.78318541169084,Commercial,1038.53,1.25,3.5,252,5660.04,84.82
CD8892C9,IN-DIN-42BC,IND,Dindori,22.63211266328485,81.42634755654741,Agricultural,790.35,2.23,1.87,276,8835.32,70.6
6F50A572,IN-DIN-CA75,IND,Dindori,23.1595907043517,81.00187035979117,Commercial,610.8,0.27,1.42,1936,11084.56,68.64
56EA56B5,IN-DIN-B621,IND,Dindori,22.96324506109786,80.90191627011123,Agricultural,0.0,5.32,1.34,657,10936.89,76.93
7A049E7A,IN-DIN-D945,IND,Dindori,23.128240934026383,80.73521766766326,Residential,0.0,5.86,3.74,100,5314.12,77.22
C6A0A274,IN-DIN-E804,IND,Dindori,23.23056347209676,80.54490596919489,Agricultural,252.94,6.66,4.07,100,4967.24,63.51
2C9D65E1,IN-DIN-8BB3,IND,Dindori,23.25079281814923,80.72676413836119,Residential,195.99,9.18,3.4,3885,7240.96,68.91
DA8DE5DE,IN-DIN-C29C,IND,Dindori,23.110365916533585,80.91911071872525,Commercial,759.57,4.05,1.28,190,11038.96,65.41
9A592058,IN-DIN-E81F,IND,Dindori,23.31500016337544,80.72400206399566,Commercial,786.78,0.69,4.37,227,4750.07,70.76
058B6D43,IN-DIN-E3C7,IND,Dindori,23.0915902562322,80.81593273264313,Commercial,960.34,5.61,1.09,401,12134.03,78.14
181D30A7,IN-DIN-7F34,IND,Dindori,23.0635082756637,80.81008108477106,Agricultural,449.78,6.82,4.94,435,4381.17,76.14
578501D6,IN-DIN-D2D4,IND,Dindori,22.719192091937273,81.11502670489241,Agricultural,1161.66,6.0,6.16,166,3556.16,59.6
C778DEFB,IN-DIN-A381,IND,Dindori,23.14149062576496,80.94832669360251,Agricultural,915.74,0.94,5.81,298,3792.29,52.66
DCDD4259,IN-DIN-0D34,IND,Dindori,22.513168844739756,81.1523358841279,Agricultural,441.29,5.3,3.37,628,5969.94,87.0
38A1A1CE,IN-DIN-1554,IND,Dindori,22.77620812660533,81.06099732087696,Commercial,176.91,5.18,4.81,2522,5313.24,68.97
EE4E18B3,IN-DIN-B45C,IND,Dindori,23.25221360533555,80.61485046852044,Commercial,281.92,14.15,6.77,361,3362.71,56.1
53CF1162,IN-DIN-146C,IND,Dindori,22.597060111136454,81.45581017577777,Industrial,869.41,8.35,7.98,4625,4633.18,37.95
4B0EB0A9,IN-DIN-8C97,IND,Dindori,22.892564122211905,81.11818546336463,Agricultural,669.45,8.18,3.02,521,6424.84,85.28
B58404D1,IN-DIN-8C08,IND,Dindori,23.21532463057611,80.6493182455345,Industrial,459.92,3.84,3.52,5508,7739.85,76.42
8F72B5FA,IN-BAL-5E72,IND,Balaghat,21.869351978183513,80.33742664364316,Agricultural,952.4,2.6,1.91,654,8857.74,76.94
38D155BC,IN-BAL-AA27,IND,Balaghat,21.629271894767765,80.21876368627572,Agricultural,0.0,2.54,10.1,735,2546.01,57.31
37EC7777,IN-BAL-A0D2,IND,Balaghat,22.21022898962995,80.51051913242283,Industrial,163.54,4.7,1.08,433,12218.43,72.5
A7AEFA08,IN-BAL-9334,IND,Balaghat,22.086338917221678,80.42661867477634,Commercial,397.29,4.13,5.48,1363,4401.26,82.32
67B5EE0E,IN-BAL-755F,IND,Balaghat,21.814842520645087,80.3411959056019,Commercial,483.66,5.89,1.85,522,8995.3,78.1
CFB2E756,IN-BAL-E0E3,IND,Balaghat,21.827362690442065,79.88068612601427,Industrial,950.42,4.48,3.24,1693,6577.18,77.38
930F063A,IN-BAL-24BC,IND,Balaghat,21.94861963581415,80.21071823604888,Agricultural,943.42,8.67,4.27,848,5080.09,65.87
D9F430B5,IN-BAL-E93D,IND,Balaghat,22.21636608727629,80.28471360416631,Agricultural,671.74,8.55,1.22,360,11399.34,90.87
F77A3EAE,IN-BAL-229E,IND,Balaghat,21.6854941234437,80.53051619125254,Commercial,416.88,6.96,5.23,4335,5747.99,75.41
0CA24010,IN-BAL-7725,IND,Balaghat,22.213567687792438,80.64904725190756,Industrial,462.75,6.56,11.02,279,2192.23,50.48
CF379F1B,IN-BAL-0089,IND,Balaghat,22.2807327086871,80.99646159730376,Agricultural,650.51,0.16,6.76,1613,3868.02,55.07
4C1DDC6B,IN-BAL-48F7,IND,Balaghat,21.892392593375668,80.43317604565381,Residential,777.69,5.81,6.02,100,3600.54,50.97
2FA09F97,IN-BAL-DC2E,IND,Balaghat,21.58650356903085,79.55497313846912,Agricultural,496.28,8.37,5.29,347,4112.67,55.8
09E1FBBE,IN-BAL-030A,IND,Balaghat,21.998658254633202,80.21708083719237,Residential,736.44,4.8,1.36,571,10829.58,65.97
9AE1489E,IN-BAL-6FEF,IND,Balaghat,22.12184900818273,80.36680339632045,Residential,294.91,0.25,5.45,267,3983.91,54.69
FEE7B370,IN-BAL-2CE8,IND,Balaghat,21.93006289612185,79.94129139783804,Industrial,784.55,4.47,1.0,158,12538.55,66.59
8D4CFFA8,IN-BAR-0A28,IND,Barwani,22.01381324718479,75.37085282481294,Industrial,921.25,3.83,1.54,192,9934.38,76.12
9D3C7380,IN-BAR-E805,IND,Barwani,22.01367571301006,74.71259952675311,Residential,672.42,1.64,1.35,274,10762.87,78.2
DF3B19B2,IN-BAR-86CF,IND,Barwani,22.11667791118144,75.30420025349036,Agricultural,504.71,2.3,3.02,853,6558.44,76.32
59014B76,IN-BAR-9699,IND,Barwani,21.973526120264406,74.68733967751916,Industrial,740.83,14.42,3.35,729,6041.41,77.04
A0E15E02,IN-BAR-8BFE,IND,Barwani,21.38963473016461,75.6290473718346,Commercial,931.65,5.15,2.78,459,6799.96,74.59
C6449D9D,IN-BAR-7123,IND,Barwani,21.64863975134135,75.43356702536656,Agricultural,560.8,3.31,4.18,722,5117.65,85.28
6E013DB3,IN-BAR-1708,IND,Barwani,21.879807839915262,74.73349437777254,Residential,518.7,3.62,1.32,711,11040.91,72.38
AEEEF35A,IN-BAR-D1D6,IND,Barwani,21.514123563043665,75.16034040179332,Industrial,268.17,1.77,3.87,6106,7577.26,70.14
6DF2648D,IN-BAR-8409,IND,Barwani,21.747099877489795,74.7553268067628,Commercial,0.0,1.12,3.41,239,5760.4,90.58
6EBB8A1F,IN-BAR-995A,IND,Barwani,21.796011384072912,74.5369058173095,Agricultural,445.0,2.05,2.47,3903,8761.3,70.34
